Receipt Item Detail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabang : All Branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alamat : -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staff : All Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode : 01/01/2025 - 31/01/2025 00:00 - 23:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. Receipt;Reff No.;Transaction Date;Store;Order Type;Cashier;Customer;Payment Type;Type;Repayment Date;Table No.;Settlement No.;Item Name;Category;Sub Category;Modifier;Qty;Unit Price;Item Sales;Discount Item;Discount Bill;Amount Redeem;Net Sales;Service Persen;Service;Delivery;Tax Persen;Tax;Comm Fee;Gratuity;Rounding;DP Pemesanan;Total;Company Name;Telepon;Telepon WA;Email;Alamat;No. Rekening;Nama Pemilik Rekening;Bill Counter
0010100001;121690010101012509302100001;2025-01-01 09:30:21;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0001;NASI BANGSAWAN;MAIN COURSE ASIAN;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100003;121690010101012511464300003;2025-01-01 11:46:43;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0001;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100002;121690010101012510515400002;2025-01-01 11:48:51;NEO STATION;DINE IN;DHIKA;Satria;cash;Sale;;tamu 4;25-0001;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100002;121690010101012510515400002;2025-01-01 11:48:51;NEO STATION;DINE IN;DHIKA;Satria;cash;Sale;;tamu 4;25-0001;NASI BANGSAWAN;MAIN COURSE ASIAN;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100004;121690010101012513354200004;2025-01-01 13:59:31;NEO STATION;DINE IN;DHIKA;Reo;cash;Sale;;tamu 4;25-0001;Fresh Mango;HEALTHY  SMOOTHIE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100001;121690010101012516135500001;2025-01-01 16:13:55;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100001;121690010101012516135500001;2025-01-01 16:13:55;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100001;121690010101012516135500001;2025-01-01 16:13:55;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;SWEET COOKIES COFFEE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100002;121690010101012518375200002;2025-01-01 18:37:52;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;RED VELVET LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100003;121690010101012520070300003;2025-01-01 20:07:03;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;SOTO BANDUNG;NUSANTARA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100003;121690010101012520070300003;2025-01-01 20:07:03;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0002;TARO LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100004;121690010101012522590600004;2025-01-01 22:59:06;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0002;NASI BANGSAWAN;MAIN COURSE ASIAN;;;2; 20.000 ; 40.000 ; 40.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;Neo Station;;;;;;;-
0010100001;121690010102012508460400001;2025-01-02 08:46:04;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0003;CAPPUCCINO;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100002;121690010102012512433100002;2025-01-02 12:43:31;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0003;TELOR;Additional Kitchen;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100003;121690010102012512472800003;2025-01-02 12:47:28;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0003;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
